PARK,PARK_NO,LOCATION,ZIP,ACRES,WARD,PARK_CLASS,WHEELCHR_A,ALFRED_CAL,ARCHERY_RA,ARTIFICIAL,BAND_SHELL,BASEBALL_B,BASKETBALL,BASKETBA_1,BEACH,BOAT_LAUNC,BOAT_LAU_1,BOAT_SLIPS,BOCCE_COUR,BOWLING_GR,CASTING_PI,FOOTBALL_S,COMMUNITY_,CONSERVATO,CULTURAL_C,DOG_FRIEND,FITNESS_CE,FITNESS_CO,GALLERY,GARDEN,GOLF_COURS,GOLF_DRIVI,GOLF_PUTTI,GYMNASIUM,GYMNASTIC_,HANDBALL_R,HORSESHOE_,ICESKATING,POOL_INDOO,BASEBALL_J,MOUNTAIN_B,NATURE_CEN,POOL_OUTDO,ZOO,PLAYGROUND,PLAYGROU_1,ROWING_CLU,VOLLEYBALL,SENIOR_CEN,SHUFFLEBOA,SKATE_PARK,SLED_HILL,SPORT_ROLL,SPRAY_FEAT,BASEBALL_S,TENNIS_COU,TRACK,VOLLEYBA_1,WATER_PLAY,WATER_SLID,BOXING_CEN,WETLAND_AR,LAGOON,CRICKET_FI,CLIMBING_W,GAME_TABLE,SHAPE_AREA,SHAPE_LEN,CAROUSEL,CROQUET,HANDBALL_I,HARBOR,MODELTRAIN,MODELYACHT,NATURE_BIR,MINIGOLF
NORTH MAYFAIR,90,4537 W CARMEN AVE,60630,0.33,39,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14289.5178492,485.580830722,0,0,0,0,0,0,0,0
SPIKINGS FARM,424,4706 N PULASKI RD,60630,0.15,39,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600.68394038,365.849311506,0,0,0,0,0,0,0,0
SUNKEN GARDENS,158,2634 W SUNNYSIDE AVE,60625,0.32,47,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14191.3379089,484.227670179,0,0,0,0,0,0,0,0
BRONCHO BILLY,487,4437 N MAGNOLIA AVE,60640,0.51,46,MINI-PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19753.920349,599.798185644,0,0,0,0,0,0,0,0
BOHN (HENRY),46,1978 W 111TH ST,60643,1.65,19,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56741.3714768,1122.10599722,0,0,0,0,0,0,0,0
MOUNT GREENWOOD,251,3724 W 111TH ST,60655,52.63,19,REGIONAL PARK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,2255146.0501,11616.7861445,0,0,0,0,0,0,0,0
ADA (SAWYER GARRETT),45,11250 S ADA ST,60643,16.72,34,REGIONAL PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,1,0,0,0,0,0,663524.92625,3695.74540203,0,0,0,0,0,0,0,0
WHITE (EDWARD),379,1120 W 122ND ST,60643,5.5,34,NEIGHBORHOOD PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,198137.018372,2097.31873455,0,0,0,0,0,0,0,0
WEST PULLMAN,225,400 W 123RD ST,60628,16.18,34,REGIONAL PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,704691.362341,3483.57431012,0,0,0,0,0,0,1,0
GOLDEN GATE,288,500 E 130TH ST,60627,6.41,9,COMMUNITY PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,278838.611874,2367.46416506,0,0,0,0,0,0,0,0
PARK NO. 517,517,5914-5924 N SHERIDAN RD,60660,0.65,48,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22466.9948757,599.560405332,0,0,0,0,0,0,0,0
FILBERT,1281,1822 W LARCHMONT AVE,60613,0.12,47,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4528.62585095,316.730839515,0,0,0,0,0,0,0,0
BESSEMER (HENRY),12,8930 S MUSKEGON AVE,60617,20.27,7,REGIONAL PARK,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,1,0,0,0,0,0,803067.316048,4129.3776005,0,0,2,0,0,0,0,0
TULEY (MURRAY),18,501 E 90TH PL,60619,18.7,9,REGIONAL PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,814221.119629,3829.91895474,0,0,0,0,0,0,0,0
SHEIL (BERNARD) COMM. CTR.,398,3505 N SOUTHPORT AVE,60657,0.47,44,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17994.2838367,539.945174656,0,0,0,0,0,0,0,0
DOUGLAS (STEPHEN),218,1401 S SACRAMENTO,60623,165.49,0,CITYWIDE PARK,0,0,0,2,0,0,8,3,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,1,0,0,0,6268705.97574,41130.3480428,0,0,0,0,0,0,0,1
SUPERA,1143,2528 N RACINE AVE,60614,0.42,43,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14594.250999,502.066319731,0,0,0,0,0,0,0,0
RIIS (JACOB),123,6100 W FULLERTON AVE,60639,57.49,30,REGIONAL PARK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,10,1,0,1,0,0,0,1,0,0,0,2504050.5819,6442.67063701,0,0,0,0,0,0,0,0
HAAS (JOSEPH),1032,2402 N WASHTENAW AVE,60647,1.78,1,NEIGHBORHOOD PARK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67038.2602016,1233.69464312,0,0,0,0,0,0,0,0
KEYSTONE,1116,1655 N KEYSTONE AVE,60639,0.26,26,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8004.79624191,378.229762807,0,0,0,0,0,0,0,0
PARK NO. 414,414,4302 W DIVISION ST,60651,0.3,37,UNIMPROVED PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13180.1990395,463.69776184,0,0,0,0,0,0,0,0
GRAND,1103,3531 W GRAND AVE,60651,0.39,27,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11960.3517644,472.86123264,0,0,0,0,0,0,0,0
SUPERIOR,1150,2101 W SUPERIOR ST,60612,0.34,1,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11907.179932,439.518039092,0,0,0,0,0,0,0,0
OHIO,1139,4712 W OHIO ST,60644,0.48,28,MINI-PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17968.0507866,539.634725325,0,0,0,0,0,0,0,0
JEFFERSON (NANCY),338,3111 W FULTON BLVD,60612,0.63,27,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27410.6887883,674.366962432,0,0,0,0,0,0,0,0
GLADYS (GUNDERSON),1102,3307 W GLADYS AVE,60624,0.42,28,MINI-PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14871.3410021,497.757097478,0,0,0,0,0,0,0,0
HOMAN SQUARE COMMUNITY CENTER,515,3517 W ARTHINGTON ST,60624,5.46,24,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221117.780461,3338.91450227,0,0,0,0,0,0,0,0
MASON (ELIZABETH),1164,4100 W WEST END AVE,60624,0.98,28,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34406.3046761,953.561284403,0,0,0,0,0,0,0,0
SCOTTSDALE,265,4620 W 83RD PL,60652,2.48,18,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,107767.027509,1372.89128083,0,0,0,0,0,0,0,0
PARK NO. 422,422,3200 W CONGRESS PKWY,60624,0.86,28,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37542.180055,1173.03669495,0,0,0,0,0,0,0,0
DEARBORN (HENRY),465,865 S PARK TER,60605,1.46,4,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55408.9969743,946.384349012,0,0,0,0,0,0,0,0
WELLES (GIDEON),110,2333 W SUNNYSIDE AVE,60625,15.97,47,REGIONAL PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,695701.830629,3506.32325995,0,0,0,0,0,0,0,0
MCKIERNAN (DAVID),1060,10714 S SAWYER AVE,60655,2.18,19,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79471.8640052,1128.66915972,0,0,0,0,0,0,0,0
LAMB (HAROLD),446,1400 W 109TH ST,60643,0.97,34,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45367.0669513,947.661182269,0,0,0,0,0,0,0,0
PARK NO. 514,514,1434 N MONTICELLO AVE,60651,0.7,26,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24586.3613704,866.692300316,0,0,0,0,0,0,0,0
ADAMS (GEORGE & ADELE),1019,1919 N SEMINARY AVE,60614,0.78,43,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29110.7010056,777.819119231,0,0,0,0,0,0,0,0
ROBICHAUX (JOSEPH),320,9247 S EGGLESTON AVE,60620,12.92,21,LINEAR PARK,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,562641.430694,5116.12747692,0,0,0,0,0,0,0,0
HIAWATHA,229,8029 W FOREST PRESERVE AVE,60634,14.04,38,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,611452.468944,3526.08156477,0,0,0,0,0,0,0,0
AVONDALE,81,3516 W SCHOOL ST,60618,1.31,35,COMMUNITY PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51245.4310758,1030.72994826,0,0,0,0,0,0,0,0
FELLGER (CHARLES),1100,2012 W BELMONT AVE,60618,0.79,32,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31167.7837459,748.604218751,0,0,0,0,0,0,0,0
KENMORE,1115,3141 N KENMORE AVE,60657,0.16,44,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6206.30859786,349.795803123,0,0,0,0,0,0,0,0
PARSONS (LUCY),501,4701 W BELMONT AVE,60641,0.33,30,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13274.5012023,466.15615704,0,0,0,0,0,0,0,0
WEISMAN (ALBERT),1135,901 W OAKDALE AVE,60657,0.4,44,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12929.3413922,456.68777011,0,0,0,0,0,0,0,0
NOETHLING (GRACE),425,2645 N SHEFFIELD AVE,60614,0.58,43,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20836.264126,578.661350766,0,0,0,0,0,0,0,0
JONQUIL,1270,1023 W WRIGHTWOOD AVE,60614,3.27,43,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,124209.790032,1471.42327997,0,0,0,0,0,0,0,0
BLACKHAWK,122,2318 N LAVERGNE AVE,60639,6.88,36,COMMUNITY PARK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,271118.956746,2105.19858051,0,0,0,0,0,0,0,0
AIELLO (JOHN),1280,2133 N MCVICKER AVE,60639,0.4,36,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14949.4999459,489.193523841,0,0,0,0,0,0,0,0
BAULER (MATHIAS),365,517 W WISCONSIN ST,60614,0.84,43,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27860.1980802,756.787778987,0,0,0,0,0,0,0,0
WESTERN,1165,907 N WESTERN AVE,60622,0.28,1,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10371.0813791,412.485220196,0,0,0,0,0,0,0,0
KELLS (GEORGE),1040,3201 W CHICAGO AVE,60624,1.93,27,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73886.3786283,1087.42965461,0,0,0,0,0,0,0,0
SNOWBERRY,389,1855 W HURON ST,60622,0.22,1,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8162.51980141,392.507303753,0,0,0,0,0,0,0,0
SWEET CLOVER,430,650 N LEAMINGTON AVE,60644,0.23,37,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9637.21478514,419.779809832,0,0,0,0,0,0,0,0
DEBOW (RUSSELL),405,1126 E 80TH ST,60619,0.69,8,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28378.5570027,677.310142567,0,0,0,0,0,0,0,0
WASHINGTON (DINAH),388,8215 S EUCLID AVE,60617,0.48,8,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17117.8621387,574.092333623,0,0,0,0,0,0,0,0
LEVIN (JOHN),1220,462 N PINE AVE,60644,7.04,37,COMMUNITY PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250785.987475,2136.12034321,0,0,0,0,0,0,0,0
KINZIE (JOHN) PKWY.,1217,5200 W KINZIE ST,60644,0.96,37,LINEAR PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41739.1621657,2840.39396269,0,0,0,0,0,0,0,0
MOORE (MAURICE),1050,5085 W ADAMS ST,60644,3.74,28,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139942.964753,1588.60918613,0,0,0,0,0,0,0,0
CLARK (JOHN),1026,4615 W JACKSON BLVD,60644,2.2,28,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85028.382362,1278.82993198,0,0,0,0,0,0,0,0
HORAN (ALBERT),1035,3035 W VAN BUREN ST,60612,3.22,28,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,129488.781139,1975.71924196,0,0,0,0,0,0,0,0
CLAREMONT,400,2342 W FLOURNOY ST,60612,1.04,28,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43206.2316108,939.928505276,0,0,0,0,0,0,0,0
BARBERRY,332,2827 W ARTHINGTON ST,60612,0.48,28,UNIMPROVED PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17897.4842859,536.39546392,0,0,0,0,0,0,0,0
KEDVALE,1039,4140 W HIRSCH ST,60651,1.68,26,NEIGHBORHOOD PARK,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66919.0973024,1114.04431114,0,0,0,0,0,0,0,0
RUTHERFORD SAYRE,127,6871 W BELDEN AVE,60635,13.47,0,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,523787.135553,6098.91634232,0,0,0,0,0,0,0,0
PARK NO. 538,538,6400 N KEDZIE,60645,32.67,0,LINEAR PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1372536.97651,11098.6465921,0,0,0,0,0,0,0,0
SHEDD (JOHN G.),212,3660 W 23RD ST,60623,1.36,22,COMMUNITY PARK,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59404.785189,991.086016832,0,0,0,0,0,0,0,0
DUNBAR (PAUL LAURENCE),267,200 E 31ST ST,60616,21.91,4,REGIONAL PARK,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0,954514.447034,4425.03642411,0,0,0,0,0,0,0,0
ARMOUR (PHILIP) SQUARE,3,3309 S SHIELDS AVE,60616,9.05,11,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,357645.153751,2392.14515217,0,0,0,0,0,0,0,0
HOYNE (THOMAS),1036,3417 S HAMILTON AVE,60608,2.38,12,NEIGHBORHOOD PARK,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87709.669693,1261.98651356,0,0,0,0,0,0,0,0
